Episode,Total Reward
0,-52.54237288135667
1,-38.14432989690803
2,490.9090909090858
3,181.04575163398903
4,149.13494809689033
5,183.62573099415542
6,68.4981684981711
7,-1.45985401459956
8,-38.65030674846681
9,-33.962264150943994
10,-31.818181818182456
11,-11.971830985915568
12,-23.61111111111125
13,-63.57615894039795
14,-28.802588996764303
15,-42.652329749104766
16,-15.857605177994273
17,-3.225806451613575
18,-50.65789473684285
19,30.26819923371805
20,106.61157024793857
21,-55.089820359281866
22,-73.33333333333339
23,-71.73144876325101
24,-10.714285714286403
25,-64.74358974359039
26,-45.20547945205534
27,-77.7777777777776
28,-80.45602605863169
29,9.634551495015867
30,-51.807228915663515
31,-28.571428571428996
32,-53.73665480427112
33,-34.931506849315156
34,-38.566552901024025
35,-24.092409240924663
36,-28.57142857142933
37,56.00000000000432
38,-54.98392282958281
39,-63.69636963696426
40,-33.79790940766586
41,-33.333333333334004
42,-31.654676258993
43,-32.25806451612965
44,-68.05111821086321
45,-54.39739413680852
46,-69.0721649484539
47,-78.57142857142833
48,-75.2321981424149
49,-58.04195804195887
